元住所,変換後住所
浜松市東区,浜松市中央区
浜松市南区,浜松市中央区
浜松市西区,浜松市中央区
浜松市中区,浜松市中央区
浜松市浜北区,浜松市浜名区
ﾆｾｺ町,ニセコ町
南ｱﾙﾌﾟｽ市,南アルプス市
ｹ丘,ケ丘
ｹ谷,ケ谷
ｹ崎,ケ崎
ｹ浦,ケ浦
ｹ関,ケ関
ｹ原,ケ原
ｹ島,ケ島
ｹ瀬,ケ瀬
ｹ沢,ケ沢
ｹ森,ケ森
ｹ鼻,ケ鼻
ｹ窪,ケ窪
ｹ根,ケ根
ｹ坪,ケ坪
ｹ門,ケ門
ｹ淵,ケ淵
ｹ下,ケ下
ｹ岡,ケ岡
ｹ峯,ケ峯
ｹ庄,ケ庄
ｹ畑,ケ畑
ｹ曽,ケ曽
ﾉ内,ノ内
浜松市北区初生町,浜松市中央区初生町
浜松市北区三方原町,浜松市中央区三方原町
浜松市北区東三方町,浜松市中央区東三方町
浜松市北区豊岡町,浜松市中央区豊岡町
浜松市北区三幸町,浜松市中央区三幸町
浜松市北区大原町,浜松市中央区大原町
浜松市北区根洗町,浜松市中央区根洗町
浜松市北区細江町,浜松市浜名区細江町
浜松市北区引佐町,浜松市浜名区引佐町
浜松市北区三ヶ日町,浜松市浜名区三ヶ日町
浜松市北区神宮寺町,浜松市浜名区神宮寺町
浜松市北区新都田,浜松市浜名区新都田
浜松市北区都田町,浜松市浜名区都田町
浜松市北区鷲沢町,浜松市浜名区鷲沢町
派送?明,派送説明
